"販売店ASAコード","販売店名","契約状況","店コード","区域","順路","枝番","読者No","氏名１","氏名２","フリガナ１","フリガナ２","郵便番号","住所１","住所２","住所３","住所４（建物名）","住所５（部屋番号）","住所６（通称）","住所７（方書）","電話番号１","電話番号２","メールアドレス１","メールアドレス２","生年月日","性別","職業","支払い方法","銘柄コード","本社銘柄コード","銘柄","現区分","契約開始","現入り日","契約日","契約終了","契約期間（開始）","契約期間（終了）","現入コード","現入理由","現契約区分","販促品名１","販促品名２","販促品名３"
"1935200",,"現",,"10","156","0","9017","●●●●●",,"●●●●●●●●●",,"4640087","名古屋市千種区","清明山","1-3-12",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20200501","20200501","20191125",,"20200501","20210430","2","起し","起し",,,
"1935200",,"現",,"10","48","0","9039","●●●●●",,"●●●●●●●●",,"4640083","名古屋市千種区","北千種","2-1-43",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","現読","20110901","20110901","20110901",,"20110901",,"6","固継","固定継続",,,
"1935200",,"現",,"3","12","0","9046","●●●●●",,"●●●●●●●●",,"4640095","名古屋市千種区","天満通","2-28",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20191001","20191001","20190603","20200930","20191001","20200930","6","固継","固定継続",,,
"1935200",,"予",,"3","12","0","9046","●●●●●",,"●●●●●●●●",,"4640095","名古屋市千種区","天満通","2-28",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","予約","20201001","20201001","20200721",,"20201001","20210930","6","固継","固定継続",,,
"1935200",,"現",,"3","72","0","9056","●●●●●●●●●●●",,"●●●●●●●●",,"4640042","名古屋市千種区","南ヶ丘","1-7-24▲11,12,1月分",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20101101","20101101","20101101",,"20101101",,"6","固継","固定継続",,,
"1935200",,"現",,"6","28","0","9058","●●●●●",,"●●●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","13-1",,,,,"●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20200301","20200301","20200213",,"20200301","20210228","2","起し","起し",,,
"1935200",,"現",,"6","90","0","9061","●●●●●",,"●●●●●●●",,"4640072","名古屋市千種区","振甫町","2-39-1",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20130401","20130401","20130401",,"20130401",,"44","休み明け","起し",,,
"1935200",,"現",,"5","86","0","9084","●●●●●",,"●●●●●●●●",,"4640073","名古屋市千種区","高見","2-1-26",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000100","1","セット","現読","20110901","20110901","20110901",,"20110901",,"5","２継続","継続",,,
"1935200",,"現",,"3","106","0","9107","●●●●●",,"●●●●●●●",,"4640042","名古屋市千種区","南ヶ丘","1-10-75",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20160401","20160401","20160401",,"20160401",,"6","固継","固定継続",,,
"1935200",,"予",,"10","1","0","9139","●●●●●",,"●●●●●●●",,"4640086","名古屋市千種区","萱場","2-3-21",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","予約","20210501","20210501","20200109",,"20210501","20220430","7","先起し","先起し",,,
"1935200",,"現",,"6","63","0","9140","●●●●●",,"●●●●●●●●●",,"4640051","名古屋市千種区","田代町四観音道東","116-10",,,,,"●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20191101","20191101","20190809",,"20191101","20201031","6","固継","固定継続",,,
"1935200",,"現",,"6","63","0","9140","●●●●●",,"●●●●●●●●●",,"4640051","名古屋市千種区","田代町四観音道東","116-10",,,,,"●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","001201","9","小学生","現読","20161216","20161216","20161216",,"20161216",,"24","申込み","新勧",,,
"1935200",,"現",,"4","30","0","9144","●●●●●",,"●●●●●●●",,"4640056","名古屋市千種区","月見坂町","1-1-2",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20121101","20121101","20121101",,"20121101",,"6","固継","固定継続",,,
"1935200",,"現",,"5","150","0","9146","●●●●●",,"●●●●●●●●●",,"4640067","名古屋市千種区","池下","1-2-19",,,,,"●●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20200401","20200401","20200301","20200930","20200401","20200930","6","固継","固定継続",,,
"1935200",,"予",,"5","150","0","9146","●●●●●",,"●●●●●●●●●",,"4640067","名古屋市千種区","池下","1-2-19",,,,,"●●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","予約","20201001","20201001","20200827",,"20201001","20210228","6","固継","固定継続",,,
"1935200",,"現",,"1","121","0","9157","●●●●●",,"●●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20111101","20111101","20111101",,"20111101",,"5","２継続","継続",,,
"1935200",,"現",,"4","33","0","9209","●●●●●",,"●●●●●●●●",,"4640056","名古屋市千種区","月見坂町","1-29-2",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20200501","20200501","20200314",,"20200501","20210430","6","固継","固定継続",,,
"1935200",,"現",,"6","37","0","9212","●●●●●●",,"●●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","5-9",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","現読","20200101","20200101","20191009","20201231","20200101","20201231","6","固継","固定継続",,,
"1935200",,"予",,"6","37","0","9212","●●●●●●",,"●●●●●●●●",,"4640052","名古屋市千種区","田代町四観音道西","5-9",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","予約","20210101","20210101","20200909",,"20210101","20211231","6","固継","固定継続",,,
"1935200",,"現",,"4","54","0","9216","●●●●●",,"●●●●●●●●",,"4640064","名古屋市千種区","山門町","2-63-1",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20200101","20200101","20190904",,"20200101","20201231","6","固継","固定継続",,,
"1935200",,"予",,"10","1","0","9273","●●●●●●●●●●",,"●●●●●●●●●",,"4640086","名古屋市千種区","萱場","2-15-2",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","予約","20211001","20211001","20200720",,"20211001","20220930","2","起し","起し",,,
